"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Brand.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Category.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Count.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\CountVariant.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Customer.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerGroup.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerResource.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerStatus.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Department.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Destination.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\District.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Docket.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketReason.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariant.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariantEliminatedResponse.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariantExtended.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Employee.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Guarantee.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Image.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\JobLevel.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\JobTitle.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\JobType.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Message.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Notification.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Office.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Order.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\OrderCancellationReason.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\OrderResource.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\OrderVariant.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\PaymentMethod.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Product.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 8, 87
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\ProductInventory.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Promotion.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Property.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Province.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\PurchaseOrder.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\PurchaseOrderVariant.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Review.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\RewardStrategy.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Role.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Room.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Specification.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Statistic.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Supplier.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Tag.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Transfer.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Unit.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\User.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Variant.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\VariantInventory.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Ward.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Warehouse.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\dowload 2\MyGameMPFE\mygamefe\src\models\Waybill.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\Admin.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 234, 0, 0, 0, 0, 0, 21, 255
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\Client.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 1, 11, 92
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\PageConfigs.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 9, 113
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressConfigs.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressCreate.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressCreate.vm.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressManage.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 12, 132
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressUpdate.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 9, 83
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\AddressUpdate.vm.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\address\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\admin-account\AdminAccount.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 14, 93
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\admin-account\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\admin-notification\AdminNotification.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\admin-notification\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\dowload 2\MyGameMPFE\mygamefe\src\pages\admin-signin\AdminSignin.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 18, 115
